Table,en-UK,ru-RU,zh-CN
LunaProjectBrowser_NotIncludedInBuild,Not included in the last Luna build,Не включено в последнюю сборку,不在上一次 Luna 构建中包含
LunaProjectBrowser_IncludedInBuild,Included in the last Luna build,Включено в последнюю сборку,在上一次 Luna 构建中包含
LunaProjectBrowser_ExcludedInBuild,Referenced but not included in the last Luna build,"Ссылается, но не включено в последнюю сборку",已引用，但未在上一次 Luna 构建中包含
LunaProjectBrowser_ForceInclude,Force include,Принудительно включить,强制包含
LunaProjectBrowser_ForceExclude,Force exclude,Принудительно исключить,强制排除
LunaProjectBrowser_AddToBuildScenes,Add to build scenes,Добавить к сценам,添加到构建场景
LunaProjectBrowser_SetAsStartupScene,Set as startup scene,Сделать стартовой,设置为启动场景
,,,
EditorTab_AdNetworkSettings_GlobalSettingsTitle,Global settings,Общие настройки,全局设置
EditorTab_AdNetworkSettings_AppName,Application Name,Имя приложения,应用程序名称
EditorTab_AdNetworkSettings_IosLink,iOS install game link,IOS ссылка на игру,iOS 安装游戏链接
EditorTab_AdNetworkSettings_AndroidLink,Android install game link,Android ссылка на игру,Android 安装游戏链接
EditorTab_AdNetworkSettings_FacebookTitle,Facebook,Facebook,FaceBook
EditorTab_AdNetworkSettings_FbAssetId,Asset ID,Asset ID,资源 ID
EditorTab_AdNetworkSettings_FbPackageType,Package type,Тип упаковки,包类型
EditorTab_AdNetworkSettings_IronSourceTitle,ironSource,ironSource,ironSource
EditorTab_AdNetworkSettings_IsApiType,API type,Тип API,API 类型
EditorTab_AdNetworkSettings_IsApiMode,API mode,Режим API,API 模式
EditorTab_AdNetworkSettings_IsVersionCode,Version code,Код версии,版本代码
EditorTab_AdNetworkSettings_IsAppGenre,Application Genre,Жанр приложения,应用游戏类型
EditorTab_AdNetworkSettings_IsPackageType,Package type,Тип упаковки,包类型
EditorTab_AdNetworkSettings_TikTokTencentTitle,TikTok & Tencent,TikTok и Tencent,TikTok (抖音) 和 Tencent (腾讯)
EditorTab_AdNetworkSettings_TttOrientation,Orientation,Ориентация,布局方向
EditorTab_AdNetworkSettings_TikTokTitle,TikTok,TikTok,TikTok (抖音)
EditorTab_AdNetworkSettings_TtLanguage,Supported Languages,Поддерживаемые языки,支持的语言
,,,
Sections_Settings_Name,Settings,Настройки,设置
Sections_Assets_Name,Assets,Ассеты,资源
Sections_Code_Name,Code,Код,代码
Sections_Develop_Name,Build & upload,Собрать и загрузить,构建与上传
Sections_Playground_Name,Create Hub,Create Hub,Create Hub
Sections_Expert_Name,Expert,Эксперт,专家
Sections_SizeBreakdown_Name,Size breakdown,Анализ размера,大小细分
Sections_PluginUpdates_Name,Plugin Updates,Обновления плагина,插件更新
Sections_BuildButton,Build {0},Собрать {0},构建 {0}
Sections_AlternativeBuildButton,Build for {0},Собрать для {0},为 {0} 构建
Sections_CancelBuildButton,Cancel Build,Прервать,取消构建
Sections_RuntimeAnalysis_Name,Runtime Analysis,Анализ кода,运行时分析
,,,
EditorTab_Basic_Name,Basic,Основные,基本
EditorTab_Advanced_Name,Advanced,Дополнительные,高级
EditorTab_AdNetworkSettings_Name,Ad Network,Рекламные сети,广告网络
EditorTab_Account_Name,Account,Аккаунт,账户
,,,
Basic_ScenesInBuild,Scenes in Build,Сцены в сборке,构建中的场景
Basic_StartupScene,Startup Scene,Стартовая сцена,启动场景
Basic_ExportType,Export type,Тип экспорта,导出类型
Basic_ExportType_Resources,Resources,Ресурсы,Resources
Basic_ExportType_StreamingAssets,Streaming Assets,Streaming Assets,Streaming Assets
Basic_ProjectSettings,Project settings,Настройки проекта,项目设置
Basic_ProjectSettings_AutoInstantiate,Auto-instantiate Prefabs,Автораспаковка префабов,自动实例化预置
Basic_ProjectSettings_OptimiseSize,Optimise build size,Оптимизировать размер билда,优化构建大小
Basic_ProjectSettings_RealtimeShadows,Realtime Shadows,Тени в реальном времени,实时阴影
Basic_ProjectSettings_BakeReferenceAmbientProbe,Bake Reference Ambient Probe,Запекать вспомогательные сферические гармоники,Bake Reference Ambient Probe
Basic_ProjectSettings_EnableLunaCompilerV2,Luna Compiler v2,Luna компилятор v2,Luna 编译器 v2
Basic_ProjectSettings_UnsupportedLunaCompilerV2,Luna Compiler v2 (Unsupported on Unity 2020.1 and lower),Luna Compiler v2 (Не поддерживается в Unity 2020.1 и ниже),Luna 编译器 v2 (不支持 Unity 2020.1 及以下版本)
Basic_ProjectSettings_DynamicBatching,Dynamic Batching,Динамический Батчинг,动态合批
,,,
Universal_Browse,Browse,Обзор,浏览
Universal_Cancel,Cancel,Отмена,取消
,,,
Advanced_GameSettings,Game settings,Настройки игры,游戏设置
Advanced_UsePlayerPrefs,Use PlayerPrefs,Применить PlayerPrefs,使用 PlayerPrefs
Advanced_CodeMinification,Code minification,Минификация кода,代码最简化
Advanced_CompressResources,Compress resources,Сжатие ресурсов,压缩资源
Advanced_DeadCodeElimination,Eliminate dead code,Исключить неиспользуемый код (DCE),清除死代码
Advanced_GenericCheck,Additional Generic Check,Проверка C# Generic-ов,额外C#泛型检查
Advanced_DisableAntiAliasing,Force disable Anti Aliasing,Отключить сглаживание,强制禁用抗锯齿
Advanced_DCE_RootClasses,DCE root classes,Принудительно сохраняемые классы при DCE,DCE 根类
Advanced_DCE_RootClasses_Tooltip,Comma separated list of fully specified class names.,"Список полностью заданных имен классов, разделенные запятой.",完全指定类名的以逗号分隔的列表。
Advanced_Preloader,Preloader,Экран загрузки,加载界面
Advanced_Preloader_Active,Active,Использовать,启用
Advanced_Preloader_Icon,Preloader Icon,Иконка загрузки,图标
Advanced_Preloader_BrowseIconTitle,Choose Path to Preloader Icon,Выберите путь к иконке,选择图标的路径
Advanced_Preloader_Background,Preloader Background,Загрузочный фон,背景
Advanced_Preloader_BrowseBackgroundTitle,Choose Path to Preloader Background,Выберите путь к изображению,选择背景的路径
Advanced_Tools,Tools and Binaries,Инструменты сборки,工具和二进制文件
Advanced_Tools_Msbuild,MSBuild Tools,MSBuild инструменты,MSBuild 工具
Advanced_Tools_BrowseMsbuildTitle,Choose Path to MSBuild Tools,Выберите путь к MSBuild инструментам,选择 MSBuild 工具的路径
,,,
Account_Account,Account,Аккаунт,账户
Account_SignedWithEmail,You are signed in with email {0},Вы вошли в систему с адресом электронной почты {0},您已使用邮箱 {0} 登录
Account_SignOut,Sign out,Выход,登出
Account_CopyToken,Copy token,Скопировать токен,复制令牌
,,,
LoginForm_SignInAsking,Sign in using your Create Hub credentials,Используйте свои реквизиты Create Hub,使用 Create Hub 账户信息进行登陆
LoginForm_Email,Email,Электронная почта,电子邮件
LoginForm_Password,Password,Пароль,密码
LoginForm_ForgotPassword,Forgot your password?,Забыли Ваш пароль?,忘记密码？
LoginForm_SignIn,Sign in,Войти,登录
LoginForm_SignInWithGoogle,Sign in with Google,Войти с помощью Google,使用 Google 账户登录
LoginForm_SsoWaitingScreenMessage,Please sign in using the browser,"Пожалуйста, авторизуйтесь в браузере",请使用浏览器登录
,,,
MultiColumnTree_Name,Name,Имя,名称
MultiColumnTree_Size,Size,Размер,尺寸
MultiColumnElement_ExpandAll,Expand All,Расширить все,全部展开
MultiColumnElement_CollapseAll,Collapse All,Свернуть все,全部折叠
,,,
Assets_AssetsIncludedExcludeTab,Assets,Ассеты,资源
Assets_TexturesTab,Textures,Текстуры,纹理
Assets_SoundsTab,Sounds,Звуки,音效
Assets_FontsTab,Fonts,Шрифты,字体
Assets_MeshesTab,Meshes,Меши,网格
Assets_AnimationsTab,Animations,Анимации,动画
,,,
InclExclAssets_ForceExclude,Force-exclude Assets,Принудительно исключить ассеты,强制排除资源
InclExclAssets_ForceInclude,Force-include Assets,Принудительно включить ассеты,强制包含资源
,,,
TexturesTab_DefaultSettings,Default Texture settings,Настройки текстур по умолчанию,默认纹理设置
TexturesTab_MaxSize,Max size,Максимальный размер,最大尺寸
TexturesTab_DimensionsSeparator,x,x,x
TexturesTab_Pixels,pixels,пикселей,像素
TexturesTab_Format,Format,Формат,格式
TextureTab_TextureFormatDefault,Default,По умолчанию,默认
TexturesTab_Quality,Quality,Качество,质量
TexturesTab_Compression,Compression,Компрессия,压缩
TextureTab_CompressionNone,None,Ничего,无
TexturesTab_CustomScript,Custom script,Скрипт пользователя,自定义脚本
TexturesTab_CustomScriptExtension,Custom script extension,Расширение скрипта,自定义脚本扩展
TexturesTab_PerTextureSettings,Per-texture settings,Настройки текстуры,逐纹理设置
TexturesTab_WEBPWarning,WebP requires iOS 14 or higher,WebP требуется iOS 14 или выше,WebP 需要 iOS 14 或更高版本
TexturesTab_OverrideSettings, {0} Texture settings, {0} Настройки текстуры, {0} 纹理设置
,,,
SoundsTab_DefaultSoundSettings,Default Sound settings,Настройки звука по умолчанию,默认音效设置
SoundsTab_Format,Format,Формат,格式
SoundsTab_DefaultChannel,Default,По умолчанию,默认
SoundsTab_Bitrate,Bitrate,Битрейт,比特率
SoundsTab_BitrateSpeed,K,К,K
SoundsTab_CustomScript,Custom script,Скрипт пользователя,自定义脚本
SoundsTab_CustomScriptExtension,Custom script extension,Расширение скрипта,自定义脚本扩展
SoundsTab_PerTextureSettings,Per-sound settings,Настройки звука,逐音效设置
SoundsTab_Cropping,Cropping,Обрезать,剪裁
SoundsTab_StartCroppingTime,from,с,从
SoundsTab_EndCroppingTime,to,до,到
SoundsTab_Play,Play,Воспроизвести,播放
SoundsTab_Stop,Stop,Остановить,停止
SoundTab_OverrideSettings,{0} Sound settings, {0} Настройки звука,{0} 音效设置
,,,
FontTab_DefaultFontSettings,Default Font settings,Настройки шрифта по умолчанию,默认字体设置
FontTab_Alphabet,Alphabet,Алфавит,字母表
FontTab_GlyphSize,Glyph size,Размер символа,字形大小
FontTab_TextureSize,Texture size,Размер текстуры,纹理大小
FontTab_DimensionsSeparator,x,x,x
FontTab_Pixels,pixels,пикселей,像素
FontTab_PerFontSettings,Per-font settings,Настройки шрифта,逐字体设置
FontTab_OverrideSettings,{0} Font settings,{0} Настройки шрифта,{0} 字体设置
,,,
Meshes_DefaultMeshSettings,Default Mesh settings,Настройки меша по умолчанию,默认网格设置
Meshes_PerMeshSettings,Per-mesh settings,Настройки меша,逐网格设置
Meshes_HalfPrecision,Store mesh in Half-precision floating-point format ,Формат с плавающей точкой половинной точности,以半精度浮点格式存储网格
Meshes_HalfPrecisionShort,Use half-precision floats,Плавающая точка половинной точности,使用半精度浮点数
Meshes_OverrideSettings,{0} Mesh settings,{0} Настройки меша,{0} 网格设置
,,,
Animations_DefaultAnimationSettings,Default Animation settings,Настройки анимации по умолчанию,默认动画设置
Animations_PerAnimationSettings,Per-animation settings,Настройки анимации,逐动画设置
Animations_HalfPrecision,Store animation in Half-precision floating-point format ,Формат с плавающей точкой половинной точности,以半精度浮点格式存储动画
Animations_HalfPrecisionShort,Use half-precision floats,Число половинной точности,使用半精度浮点数
Animations_OverrideSettings,{0} Animation settings,{0} Настройки анимации,{0} 动画设置
ShadersTab_DevelopShadersCount,Develop build shader variants total count,Количество найденных вариантов шейдеров в сборке develop,Develop 版本着色器变体总数
,,,
Code_DiagnosticsTab,Diagnostics,Диагностика,诊断
Code_ExclusionsTab,Exclusions,Исключения,排除
Code_StubsTab,Stubs,Стабы,存根
